Attempting to crack Argon2id hashes...
Note: Argon2id is memory-hard and may take a very long time or may not be supported
Starting at Tue Dec  9 02:52:22 +03 2025
hashcat (v7.1.2) starting - session [compsec-argon2id]

Initializing bridges. Please be patient.../opt/homebrew/Cellar/hashcat/7.1.2/share/hashcat/OpenCL/m09700_a0-optimized.cl: Pure kernel not found, falling back to optimized kernel
Initialized bridgesInitializing backend runtimes. Please be patient...Initialized backend runtimesInitializing backend devices. Please be patient...Initialized backend devices/opt/homebrew/Cellar/hashcat/7.1.2/share/hashcat/OpenCL/m09700_a0-optimized.cl: Pure kernel not found, falling back to optimized kernel
Minimum password length supported by kernel: 0
Maximum password length supported by kernel: 15
Minimum salt length supported by kernel: 0
Maximum salt length supported by kernel: 51

Counting lines in hashcat/hashes_argon2id.txt. Please be patient...Counted lines in hashcat/hashes_argon2id.txtHashfile 'hashcat/hashes_argon2id.txt' on line 1 ($argon...xfu+olgnvgblfU/csGVbq6xGMzcBghiY): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 2 ($argon...4xBQEzK5XVHEumV1B3OIE1ifzkYH4NCM): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 3 ($argon...5I/6LUjqi+UbVDJRs2iCn97V/XDBHFfk): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 4 ($argon...jAoYho4pVHR+daXw4uLfMJBexsYghReM): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 5 ($argon...inBpfiM0WlT734or+I3KzuTDVVpo6mPA): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 6 ($argon...0nWBuekBjwKh1O7bxM/u61DhDENETfFU): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 7 ($argon...vIUsLZEduQhIFU92HxyujiZf1GpbYMhg): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 8 ($argon...DngR7ghIIUqWjC2RftarmtyoUOV1aEd0): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 9 ($argon...oDMaFt7XyddYo5DqMSf8xu2d5nBuku4k): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 10 ($argon...dhJZviHPYY6rGIxGaCVyjsoqQjz+r+l4): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 11 ($argon...23NXFSr77P6dAwFNR9nFD1OP4piR0p28): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 12 ($argon...OJ+zKqxBnR+R+T7BZr1oTB093FRSpEyg): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 13 ($argon...2Bcl9YV0iwNVugauaO+mFtlqoDlAOEQY): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 14 ($argon...zBptPxNVkC4NTwzof3IGWCIjH68Z7zEg): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 15 ($argon...zHTBVPrtTkaSYY3qtvcjaOdFz513wREo): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 16 ($argon...5c/zs31/012lg7QWR4Tigx04Uin9Y9Jg): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 17 ($argon...X/k7k+Yva5wTAZ/VzNznJzkLKMHzJaXw): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 18 ($argon...+Pkpcja1J8JIxYF0N/w7hxEQgRHcwErs): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 19 ($argon...4qBY+7+SqaVgjCm2Ow+gOGg4ONeVEYyg): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 20 ($argon...60k2Ua1gEqIiSUroGy0X0weRoNzqJaGE): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 21 ($argon...dgDarYcty3tvQg/5mugUmligP5sWnPww): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 22 ($argon.../wjVKUrU/CxW2tvAS9J+lPBwNA6IqGpE): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 23 ($argon...PAGJQUYj4VWUd/Y9sFmWcqtU2/k1hxRM): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 24 ($argon...NpUJV7LDFi60Ehx/XO3xaW8Q6/ePqxFY): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 25 ($argon...Ee1yuijJdgaRzqouBbXd+wOVXaF47XO4): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 26 ($argon...OfeZqgnH+lVG9EgCL9zbEVmpaDJJp1vg): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 27 ($argon...EodIETmoDNMnQOENaP5UJXDWdP3nwO8U): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 28 ($argon...+x1dG4lPOGEyJOqc4fbXqQ06AwWo6F4E): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 29 ($argon...8L6L/26FFcCGQGrSxcJO5DvzUI/RwSUc): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 30 ($argon...ySu3UA3HliVcndjFa8Rk080BR1unjdn4): Separator unmatched
Hashfile 'hashcat/hashes_argon2id.txt' on line 31 ($argon...1eek/aQ3pz+bRDtOgp4JfBovjl6vlZCE): Separator unmatched
